time	core_0	core_1	core_2	core_3
954	100.000000	100.000000	100.000000	100.000000
965	100.000000	100.000000	100.000000	100.000000
976	100.000000	100.000000	100.000000	100.000000
987	100.000000	100.000000	100.000000	100.000000
998	100.000000	100.000000	100.000000	100.000000
1009	100.000000	100.000000	100.000000	100.000000
1020	100.000000	100.000000	100.000000	100.000000
1031	100.000000	100.000000	100.000000	100.000000
1043	100.000000	100.000000	100.000000	100.000000
1054	100.000000	100.000000	100.000000	100.000000
1066	100.000000	100.000000	100.000000	100.000000
1077	100.000000	100.000000	100.000000	100.000000
1088	100.000000	100.000000	100.000000	100.000000
1099	100.000000	100.000000	100.000000	100.000000
1111	100.000000	100.000000	100.000000	100.000000
1122	100.000000	100.000000	100.000000	100.000000
1133	100.000000	100.000000	100.000000	100.000000
1144	100.000000	100.000000	100.000000	100.000000
1156	100.000000	100.000000	100.000000	100.000000
1167	100.000000	100.000000	100.000000	100.000000
1178	100.000000	100.000000	100.000000	100.000000
1189	100.000000	100.000000	100.000000	100.000000
1200	100.000000	100.000000	100.000000	100.000000
1211	100.000000	100.000000	100.000000	100.000000
1222	100.000000	100.000000	100.000000	100.000000
1233	100.000000	100.000000	100.000000	100.000000
1245	100.000000	100.000000	100.000000	100.000000
1256	100.000000	100.000000	100.000000	100.000000
1267	100.000000	100.000000	100.000000	100.000000
1278	100.000000	100.000000	100.000000	100.000000
1289	100.000000	100.000000	100.000000	100.000000
1300	100.000000	100.000000	100.000000	100.000000
1311	100.000000	100.000000	100.000000	100.000000
1322	100.000000	100.000000	100.000000	100.000000
1333	100.000000	100.000000	100.000000	100.000000
1344	100.000000	100.000000	100.000000	100.000000
1355	100.000000	100.000000	100.000000	100.000000
1366	100.000000	100.000000	100.000000	100.000000
1377	100.000000	100.000000	100.000000	100.000000
1388	100.000000	100.000000	100.000000	100.000000
1400	100.000000	100.000000	100.000000	100.000000
1411	100.000000	100.000000	100.000000	100.000000
1422	100.000000	100.000000	100.000000	100.000000
1433	100.000000	100.000000	100.000000	100.000000
1444	100.000000	100.000000	100.000000	100.000000
1455	100.000000	100.000000	100.000000	100.000000
1467	100.000000	100.000000	100.000000	100.000000
1478	100.000000	100.000000	100.000000	100.000000
1489	100.000000	100.000000	100.000000	100.000000
1500	100.000000	100.000000	100.000000	100.000000
1513	100.000000	100.000000	100.000000	100.000000
1524	100.000000	100.000000	100.000000	100.000000
1535	100.000000	100.000000	100.000000	100.000000
1546	100.000000	100.000000	100.000000	100.000000
1557	100.000000	100.000000	100.000000	100.000000
